"trta","saffl","aesoc","aedecod","procedure","factor","measure","unit","denominator"
"Placebo","Y","VASCULAR DISORDERS","_ALL_","count","quantity",7,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","_ALL_","count","quantity",34,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CONGENITAL, FAMILIAL AND GENETIC DISORDERS","_ALL_","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","EAR AND LABYRINTH DISORDERS","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","EYE DISORDERS","_ALL_","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","_ALL_","count","quantity",37,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","_ALL_","count","quantity",124,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","IMMUNE SYSTEM DISORDERS","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","_ALL_","count","quantity",20,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","_ALL_","count","quantity",8,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INVESTIGATIONS","_ALL_","count","quantity",8,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","METABOLISM AND NUTRITION DISORDERS","_ALL_","count","quantity",5,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","_ALL_","count","quantity",11,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","_ALL_","count","quantity",45,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","_ALL_","count","quantity",12,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RENAL AND URINARY DISORDERS","_ALL_","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","REPRODUCTIVE SYSTEM AND BREAST DISORDERS","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","_ALL_","count","quantity",22,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","_ALL_","count","quantity",111,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SOCIAL CIRCUMSTANCES","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SURGICAL AND MEDICAL PROCEDURES","_ALL_","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","VASCULAR DISORDERS","_ALL_","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","_ALL_","count","quantity",30,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CONGENITAL, FAMILIAL AND GENETIC DISORDERS","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EAR AND LABYRINTH DISORDERS","_ALL_","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EYE DISORDERS","_ALL_","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","_ALL_","count","quantity",24,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","_ALL_","count","quantity",120,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","IMMUNE SYSTEM DISORDERS","_ALL_","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","INFECTIONS AND INFESTATIONS","_ALL_","count","quantity",18,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","_ALL_","count","quantity",12,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","INVESTIGATIONS","_ALL_","count","quantity",13,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","METABOLISM AND NUTRITION DISORDERS","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","_ALL_","count","quantity",10,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)","_ALL_","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","NERVOUS SYSTEM DISORDERS","_ALL_","count","quantity",40,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","PSYCHIATRIC DISORDERS","_ALL_","count","quantity",14,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","RENAL AND URINARY DISORDERS","_ALL_","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","_ALL_","count","quantity",16,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","_ALL_","count","quantity",118,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","SURGICAL AND MEDICAL PROCEDURES","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","VASCULAR DISORDERS","_ALL_","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","_ALL_","countdistinct","USUBJID",13,"_NULL_","_NULL_"
"Placebo","Y","EAR AND LABYRINTH DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Placebo","Y","EYE DISORDERS","_ALL_","countdistinct","USUBJID",4,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","_ALL_","countdistinct","USUBJID",17,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","_ALL_","countdistinct","USUBJID",21,"_NULL_","_NULL_"
"Placebo","Y","HEPATOBILIARY DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","_ALL_","countdistinct","USUBJID",16,"_NULL_","_NULL_"
"Placebo","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","_ALL_","countdistinct","USUBJID",4,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","_ALL_","countdistinct","USUBJID",10,"_NULL_","_NULL_"
"Placebo","Y","METABOLISM AND NUTRITION DISORDERS","_ALL_","countdistinct","USUBJID",6,"_NULL_","_NULL_"
"Placebo","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","_ALL_","countdistinct","USUBJID",5,"_NULL_","_NULL_"
"Placebo","Y","NERVOUS SYSTEM DISORDERS","_ALL_","countdistinct","USUBJID",12,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","_ALL_","countdistinct","USUBJID",10,"_NULL_","_NULL_"
"Placebo","Y","RENAL AND URINARY DISORDERS","_ALL_","countdistinct","USUBJID",4,"_NULL_","_NULL_"
"Placebo","Y","REPRODUCTIVE SYSTEM AND BREAST DISORDERS","_ALL_","countdistinct","USUBJID",2,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","_ALL_","countdistinct","USUBJID",10,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","_ALL_","countdistinct","USUBJID",21,"_NULL_","_NULL_"
"Placebo","Y","SURGICAL AND MEDICAL PROCEDURES","_ALL_","countdistinct","USUBJID",2,"_NULL_","_NULL_"
"Placebo","Y","VASCULAR DISORDERS","_ALL_","countdistinct","USUBJID",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","_ALL_","countdistinct","USUBJID",18,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CONGENITAL, FAMILIAL AND GENETIC DISORDERS","_ALL_","countdistinct","USUBJID",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","EAR AND LABYRINTH DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","EYE DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","_ALL_","countdistinct","USUBJID",21,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","_ALL_","countdistinct","USUBJID",40,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","IMMUNE SYSTEM DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","_ALL_","countdistinct","USUBJID",13,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","_ALL_","countdistinct","USUBJID",5,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INVESTIGATIONS","_ALL_","countdistinct","USUBJID",6,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","METABOLISM AND NUTRITION DISORDERS","_ALL_","countdistinct","USUBJID",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","_ALL_","countdistinct","USUBJID",8,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","_ALL_","countdistinct","USUBJID",27,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","_ALL_","countdistinct","USUBJID",9,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RENAL AND URINARY DISORDERS","_ALL_","countdistinct","USUBJID",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","REPRODUCTIVE SYSTEM AND BREAST DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","_ALL_","countdistinct","USUBJID",10,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","_ALL_","countdistinct","USUBJID",42,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SOCIAL CIRCUMSTANCES","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SURGICAL AND MEDICAL PROCEDURES","_ALL_","countdistinct","USUBJID",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","VASCULAR DISORDERS","_ALL_","countdistinct","USUBJID",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","_ALL_","countdistinct","USUBJID",13,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CONGENITAL, FAMILIAL AND GENETIC DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EAR AND LABYRINTH DISORDERS","_ALL_","countdistinct","USUBJID",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EYE DISORDERS","_ALL_","countdistinct","USUBJID",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","_ALL_","countdistinct","USUBJID",15,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","_ALL_","countdistinct","USUBJID",47,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","IMMUNE SYSTEM DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","INFECTIONS AND INFESTATIONS","_ALL_","countdistinct","USUBJID",10,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","_ALL_","countdistinct","USUBJID",5,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","INVESTIGATIONS","_ALL_","countdistinct","USUBJID",7,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","METABOLISM AND NUTRITION DISORDERS","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","_ALL_","countdistinct","USUBJID",7,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)","_ALL_","countdistinct","USUBJID",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","NERVOUS SYSTEM DISORDERS","_ALL_","countdistinct","USUBJID",20,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","PSYCHIATRIC DISORDERS","_ALL_","countdistinct","USUBJID",10,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","RENAL AND URINARY DISORDERS","_ALL_","countdistinct","USUBJID",4,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","_ALL_","countdistinct","USUBJID",10,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","_ALL_","countdistinct","USUBJID",42,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","SURGICAL AND MEDICAL PROCEDURES","_ALL_","countdistinct","USUBJID",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","VASCULAR DISORDERS","_ALL_","countdistinct","USUBJID",3,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","ATRIAL FIBRILLATION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","ATRIAL HYPERTROPHY","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","ATRIOVENTRICULAR BLOCK FIRST DEGREE","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","ATRIOVENTRICULAR BLOCK SECOND DEGREE","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","BRADYCARDIA","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","BUNDLE BRANCH BLOCK LEFT","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","BUNDLE BRANCH BLOCK RIGHT","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","CARDIAC FAILURE CONGESTIVE","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","MYOCARDIAL INFARCTION","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","SINUS ARRHYTHMIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","SINUS BRADYCARDIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","SUPRAVENTRICULAR EXTRASYSTOLES","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","TACHYCARDIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","VENTRICULAR HYPERTROPHY","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","EAR AND LABYRINTH DISORDERS","EAR PAIN","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","EYE DISORDERS","CONJUNCTIVITIS","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","EYE DISORDERS","EYE ALLERGY","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","EYE DISORDERS","EYE PRURITUS","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","EYE DISORDERS","EYE SWELLING","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","EYE DISORDERS","GLAUCOMA","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","ABDOMINAL PAIN","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","CONSTIPATION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","DIARRHOEA","count","quantity",10,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","DYSPEPSIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","FLATULENCE","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","GASTROOESOPHAGEAL REFLUX DISEASE","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","GLOSSITIS","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","HIATUS HERNIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","NAUSEA","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","VOMITING","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE DERMATITIS","count","quantity",9,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE ERYTHEMA","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE INDURATION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE IRRITATION","count","quantity",7,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE PRURITUS","count","quantity",10,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE REACTION","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE VESICLES","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","ASTHENIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","CHILLS","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","FATIGUE","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","OEDEMA PERIPHERAL","count","quantity",5,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","PYREXIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","HEPATOBILIARY DISORDERS","HYPERBILIRUBINAEMIA","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","BRONCHITIS","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","CERVICITIS","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","CYSTITIS","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","EAR INFECTION","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","GASTROENTERITIS VIRAL","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","INFLUENZA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","LOCALISED INFECTION","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","NASOPHARYNGITIS","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","UPPER RESPIRATORY TRACT INFECTION","count","quantity",12,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","URINARY TRACT INFECTION","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","VAGINAL MYCOSIS","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","CONTUSION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","EXCORIATION","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","FALL","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","HIP FRACTURE","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","SKIN LACERATION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","BLOOD ALKALINE PHOSPHATASE INCREASED","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","BLOOD CREATINE PHOSPHOKINASE INCREASED","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","BLOOD URINE PRESENT","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","CYSTOSCOPY","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","ELECTROCARDIOGRAM ST SEGMENT DEPRESSION","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","ELECTROCARDIOGRAM T WAVE INVERSION","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","HEART RATE INCREASED","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","HEART RATE IRREGULAR","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","METABOLISM AND NUTRITION DISORDERS","DECREASED APPETITE","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","METABOLISM AND NUTRITION DISORDERS","DEHYDRATION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","METABOLISM AND NUTRITION DISORDERS","DIABETES MELLITUS","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","METABOLISM AND NUTRITION DISORDERS","FOOD CRAVING","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","METABOLISM AND NUTRITION DISORDERS","HYPONATRAEMIA","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","METABOLISM AND NUTRITION DISORDERS","INCREASED APPETITE","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","ARTHRALGIA","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","ARTHRITIS","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","BACK PAIN","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","PAIN IN EXTREMITY","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","SHOULDER PAIN","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","NERVOUS SYSTEM DISORDERS","DIZZINESS","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","NERVOUS SYSTEM DISORDERS","HEADACHE","count","quantity",8,"_NULL_","_NULL_"
"Placebo","Y","NERVOUS SYSTEM DISORDERS","PARKINSON'S DISEASE","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","NERVOUS SYSTEM DISORDERS","PSYCHOMOTOR HYPERACTIVITY","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","NERVOUS SYSTEM DISORDERS","SOMNOLENCE","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","AGITATION","count","quantity",2,"_NULL_","_NULL_"
